date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-07-13,10,ecmwf_ifs025,44.8378,-0.5792,29.7,23.6,34.1,25.4,-4.400000000000002,-1.7999999999999972
2026-07-14,10,ecmwf_ifs025,44.8378,-0.5792,35.4,21.6,35.2,24.1,0.1999999999999957,-2.5
2026-07-15,10,ecmwf_ifs025,44.8378,-0.5792,33.5,23.0,27.5,19.4,6.0,3.6000000000000014
2026-07-16,10,ecmwf_ifs025,44.8378,-0.5792,30.5,22.4,38.0,22.4,-7.5,0.0
2026-07-17,10,ecmwf_ifs025,44.8378,-0.5792,29.4,22.1,31.8,22.6,-2.400000000000002,-0.5
2026-07-18,10,ecmwf_ifs025,44.8378,-0.5792,31.7,19.5,28.3,19.6,3.3999999999999986,-0.1000000000000014
2026-07-19,10,ecmwf_ifs025,44.8378,-0.5792,33.6,21.0,24.1,16.9,9.5,4.100000000000001
2026-07-20,10,ecmwf_ifs025,44.8378,-0.5792,32.7,19.3,34.9,21.7,-2.199999999999996,-2.3999999999999986
2026-07-21,10,ecmwf_ifs025,44.8378,-0.5792,31.7,18.6,31.4,19.3,0.3000000000000007,-0.6999999999999993
2026-07-22,10,ecmwf_ifs025,44.8378,-0.5792,33.6,18.4,34.6,23.6,-1.0,-5.200000000000003
2026-07-23,10,ecmwf_ifs025,44.8378,-0.5792,33.8,19.5,34.7,21.1,-0.9000000000000057,-1.6000000000000014
2026-07-24,10,ecmwf_ifs025,44.8378,-0.5792,36.6,19.4,36.8,22.2,-0.1999999999999957,-2.8000000000000007
2026-07-25,10,ecmwf_ifs025,44.8378,-0.5792,27.8,20.8,27.0,19.0,0.8000000000000007,1.8000000000000007
2026-07-26,10,ecmwf_ifs025,44.8378,-0.5792,26.4,19.0,25.6,19.4,0.7999999999999972,-0.3999999999999986
2026-07-27,10,ecmwf_ifs025,44.8378,-0.5792,26.1,19.2,25.3,18.6,0.8000000000000007,0.5999999999999979
2026-07-28,10,ecmwf_ifs025,44.8378,-0.5792,34.7,17.5,25.2,18.1,9.500000000000004,-0.6000000000000014
2026-07-29,10,ecmwf_ifs025,44.8378,-0.5792,40.4,20.5,24.9,18.1,15.5,2.3999999999999986
2026-07-30,10,ecmwf_ifs025,44.8378,-0.5792,31.0,21.3,26.1,18.6,4.899999999999999,2.7
2026-07-31,10,ecmwf_ifs025,44.8378,-0.5792,27.1,19.2,34.5,21.2,-7.399999999999999,-2.0
2026-08-01,10,ecmwf_ifs025,44.8378,-0.5792,30.6,17.3,27.8,19.5,2.8000000000000007,-2.2
2026-08-02,10,ecmwf_ifs025,44.8378,-0.5792,35.4,20.1,34.8,21.0,0.6000000000000014,-0.8999999999999986
2026-08-03,10,ecmwf_ifs025,44.8378,-0.5792,28.5,21.0,30.6,21.6,-2.1000000000000014,-0.6000000000000014
2026-08-04,10,ecmwf_ifs025,44.8378,-0.5792,30.1,19.6,32.9,21.1,-2.799999999999997,-1.5
2026-08-05,10,ecmwf_ifs025,44.8378,-0.5792,27.8,20.7,33.1,19.7,-5.300000000000001,1.0
2026-08-06,10,ecmwf_ifs025,44.8378,-0.5792,28.7,18.9,32.5,18.6,-3.8000000000000007,0.2999999999999971
2026-08-07,10,ecmwf_ifs025,44.8378,-0.5792,32.2,17.2,24.9,18.6,7.300000000000004,-1.400000000000002
2026-08-08,10,ecmwf_ifs025,44.8378,-0.5792,37.1,20.7,29.4,17.8,7.700000000000003,2.8999999999999986
2026-08-09,10,ecmwf_ifs025,44.8378,-0.5792,36.3,22.1,27.6,15.9,8.699999999999996,6.200000000000001
2026-08-10,10,ecmwf_ifs025,44.8378,-0.5792,32.2,21.1,31.2,17.9,1.0000000000000036,3.200000000000003
2026-08-11,10,ecmwf_ifs025,44.8378,-0.5792,35.9,20.2,32.1,19.7,3.799999999999997,0.5
2026-08-12,10,ecmwf_ifs025,44.8378,-0.5792,38.1,22.3,27.6,19.6,10.5,2.7
2026-08-13,10,ecmwf_ifs025,44.8378,-0.5792,39.8,23.8,35.1,22.0,4.699999999999996,1.8000000000000007
2026-08-14,10,ecmwf_ifs025,44.8378,-0.5792,34.1,22.6,31.5,20.2,2.6000000000000014,2.400000000000002
2026-08-15,10,ecmwf_ifs025,44.8378,-0.5792,31.0,22.5,32.6,21.6,-1.6000000000000014,0.8999999999999986
2026-08-16,10,ecmwf_ifs025,44.8378,-0.5792,30.6,21.5,35.6,22.8,-5.0,-1.3000000000000007
2026-08-17,10,ecmwf_ifs025,44.8378,-0.5792,29.1,21.3,31.5,19.9,-2.3999999999999986,1.400000000000002
2026-08-18,10,ecmwf_ifs025,44.8378,-0.5792,30.0,20.1,31.4,21.3,-1.3999999999999986,-1.1999999999999993
2026-08-19,10,ecmwf_ifs025,44.8378,-0.5792,28.3,19.2,28.7,19.1,-0.3999999999999986,0.0999999999999978
2026-08-20,10,ecmwf_ifs025,44.8378,-0.5792,25.3,19.1,24.8,14.7,0.5,4.400000000000002
