date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-07-13,10,ecmwf_ifs025,50.6292,3.0573,31.2,17.7,33.1,20.9,-1.900000000000002,-3.2
2026-07-14,10,ecmwf_ifs025,50.6292,3.0573,32.8,17.8,30.4,17.1,2.3999999999999986,0.6999999999999993
2026-07-15,10,ecmwf_ifs025,50.6292,3.0573,31.1,20.3,23.5,18.8,7.600000000000001,1.5
2026-07-16,10,ecmwf_ifs025,50.6292,3.0573,30.8,19.1,33.3,21.9,-2.4999999999999964,-2.799999999999997
2026-07-17,10,ecmwf_ifs025,50.6292,3.0573,27.4,16.4,28.0,15.6,-0.6000000000000014,0.7999999999999989
2026-07-18,10,ecmwf_ifs025,50.6292,3.0573,21.7,15.5,23.6,18.5,-1.900000000000002,-3.0
2026-07-19,10,ecmwf_ifs025,50.6292,3.0573,21.9,14.2,18.6,14.6,3.299999999999997,-0.4000000000000003
2026-07-20,10,ecmwf_ifs025,50.6292,3.0573,22.7,13.2,20.0,15.9,2.7,-2.700000000000001
2026-07-21,10,ecmwf_ifs025,50.6292,3.0573,24.0,11.4,22.1,14.1,1.8999999999999984,-2.7
2026-07-22,10,ecmwf_ifs025,50.6292,3.0573,22.7,15.4,21.4,13.6,1.3000000000000007,1.8000000000000007
2026-07-23,10,ecmwf_ifs025,50.6292,3.0573,23.7,13.5,23.3,14.9,0.3999999999999986,-1.4000000000000004
2026-07-24,10,ecmwf_ifs025,50.6292,3.0573,27.5,15.2,23.2,14.4,4.300000000000001,0.7999999999999989
2026-07-25,10,ecmwf_ifs025,50.6292,3.0573,29.6,16.6,22.0,16.4,7.600000000000001,0.2000000000000028
2026-07-26,10,ecmwf_ifs025,50.6292,3.0573,22.7,17.8,23.7,17.8,-1.0,0.0
2026-07-27,10,ecmwf_ifs025,50.6292,3.0573,25.6,18.4,21.7,17.1,3.900000000000002,1.2999999999999972
2026-07-28,10,ecmwf_ifs025,50.6292,3.0573,31.1,15.7,22.0,15.6,9.1,0.0999999999999996
2026-07-29,10,ecmwf_ifs025,50.6292,3.0573,36.6,18.4,21.6,16.0,15.0,2.3999999999999986
2026-07-30,10,ecmwf_ifs025,50.6292,3.0573,28.1,19.5,20.7,14.1,7.400000000000002,5.4
