date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-07-13,10,ecmwf_ifs025,45.764,4.8357,36.8,25.5,37.0,25.6,-0.2000000000000028,-0.1000000000000014
2026-07-14,10,ecmwf_ifs025,45.764,4.8357,37.6,24.8,37.8,25.8,-0.1999999999999957,-1.0
2026-07-15,10,ecmwf_ifs025,45.764,4.8357,31.5,23.6,28.2,20.3,3.3000000000000007,3.3000000000000007
2026-07-16,10,ecmwf_ifs025,45.764,4.8357,33.3,20.8,36.3,25.1,-3.0,-4.300000000000001
2026-07-17,10,ecmwf_ifs025,45.764,4.8357,32.5,20.1,38.6,25.3,-6.100000000000001,-5.199999999999999
2026-07-18,10,ecmwf_ifs025,45.764,4.8357,31.8,21.9,21.8,19.0,10.0,2.8999999999999986
2026-07-19,10,ecmwf_ifs025,45.764,4.8357,30.3,21.7,26.9,20.0,3.400000000000002,1.6999999999999993
2026-07-20,10,ecmwf_ifs025,45.764,4.8357,29.1,18.3,30.6,20.7,-1.5,-2.3999999999999986
2026-07-21,10,ecmwf_ifs025,45.764,4.8357,28.2,17.8,30.4,20.1,-2.2,-2.3000000000000007
2026-07-22,10,ecmwf_ifs025,45.764,4.8357,30.2,17.8,33.6,21.4,-3.400000000000002,-3.599999999999998
2026-07-23,10,ecmwf_ifs025,45.764,4.8357,29.3,18.5,28.9,19.3,0.4000000000000021,-0.8000000000000007
2026-07-24,10,ecmwf_ifs025,45.764,4.8357,32.0,18.0,30.3,19.1,1.6999999999999993,-1.1000000000000014
2026-07-25,10,ecmwf_ifs025,45.764,4.8357,33.2,20.5,35.0,20.5,-1.7999999999999972,0.0
2026-07-26,10,ecmwf_ifs025,45.764,4.8357,29.6,20.2,27.9,19.6,1.7000000000000028,0.5999999999999979
2026-07-27,10,ecmwf_ifs025,45.764,4.8357,28.4,21.6,29.4,21.3,-1.0,0.3000000000000007
2026-07-28,10,ecmwf_ifs025,45.764,4.8357,35.0,19.5,24.5,18.7,10.5,0.8000000000000007
2026-07-29,10,ecmwf_ifs025,45.764,4.8357,37.8,22.7,24.1,16.3,13.699999999999996,6.399999999999999
2026-07-30,10,ecmwf_ifs025,45.764,4.8357,34.0,23.6,28.2,21.1,5.800000000000001,2.5
2026-07-31,10,ecmwf_ifs025,45.764,4.8357,33.4,23.2,38.7,25.2,-5.300000000000004,-2.0
2026-08-01,10,ecmwf_ifs025,45.764,4.8357,31.5,21.9,36.0,25.0,-4.5,-3.1000000000000014
2026-08-02,10,ecmwf_ifs025,45.764,4.8357,36.3,22.1,40.0,24.9,-3.700000000000003,-2.799999999999997
2026-08-03,10,ecmwf_ifs025,45.764,4.8357,38.1,25.9,40.9,26.0,-2.799999999999997,-0.1000000000000014
2026-08-04,10,ecmwf_ifs025,45.764,4.8357,36.5,25.2,38.4,26.0,-1.8999999999999984,-0.8000000000000007
2026-08-05,10,ecmwf_ifs025,45.764,4.8357,33.7,23.7,36.3,24.8,-2.5999999999999943,-1.1000000000000014
2026-08-06,10,ecmwf_ifs025,45.764,4.8357,32.3,23.9,32.2,24.3,0.0999999999999943,-0.4000000000000021
2026-08-07,10,ecmwf_ifs025,45.764,4.8357,31.0,20.6,28.0,22.8,3.0,-2.2
2026-08-08,10,ecmwf_ifs025,45.764,4.8357,34.3,20.1,27.1,18.1,7.199999999999996,2.0
2026-08-09,10,ecmwf_ifs025,45.764,4.8357,37.5,23.1,24.6,17.1,12.9,6.0
2026-08-10,10,ecmwf_ifs025,45.764,4.8357,35.2,23.3,25.0,16.8,10.200000000000005,6.5
2026-08-11,10,ecmwf_ifs025,45.764,4.8357,34.9,24.3,35.0,21.9,-0.1000000000000014,2.400000000000002
2026-08-12,10,ecmwf_ifs025,45.764,4.8357,36.6,24.0,33.5,22.2,3.1000000000000014,1.8000000000000007
2026-08-13,10,ecmwf_ifs025,45.764,4.8357,38.5,24.2,35.1,21.7,3.3999999999999986,2.5
2026-08-14,10,ecmwf_ifs025,45.764,4.8357,37.7,26.3,37.1,24.9,0.6000000000000014,1.400000000000002
2026-08-15,10,ecmwf_ifs025,45.764,4.8357,37.9,25.3,34.9,25.4,3.0,-0.0999999999999978
2026-08-16,10,ecmwf_ifs025,45.764,4.8357,33.5,25.7,33.9,23.4,-0.3999999999999986,2.3000000000000007
2026-08-17,10,ecmwf_ifs025,45.764,4.8357,31.8,23.3,31.7,21.4,0.1000000000000014,1.900000000000002
2026-08-18,10,ecmwf_ifs025,45.764,4.8357,32.7,22.1,28.9,21.6,3.800000000000004,0.5
2026-08-19,10,ecmwf_ifs025,45.764,4.8357,36.8,22.0,26.5,16.6,10.299999999999995,5.399999999999999
2026-08-20,10,ecmwf_ifs025,45.764,4.8357,30.0,22.3,22.8,16.0,7.199999999999999,6.300000000000001
2026-08-21,10,ecmwf_ifs025,45.764,4.8357,24.6,17.0,27.0,18.8,-2.3999999999999986,-1.8000000000000007
2026-08-22,10,ecmwf_ifs025,45.764,4.8357,25.9,17.4,23.1,16.1,2.799999999999997,1.2999999999999972
2026-08-23,10,ecmwf_ifs025,45.764,4.8357,29.4,16.2,26.2,18.6,3.1999999999999997,-2.400000000000002
2026-08-24,10,ecmwf_ifs025,45.764,4.8357,33.1,18.8,25.2,18.9,7.900000000000002,-0.09999999999999787
