date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-07-13,10,ecmwf_ifs025,43.2965,5.3698,34.4,26.4,31.8,26.4,2.599999999999998,0.0
2026-07-14,10,ecmwf_ifs025,43.2965,5.3698,29.8,26.1,31.9,26.8,-2.099999999999998,-0.6999999999999993
2026-07-15,10,ecmwf_ifs025,43.2965,5.3698,31.5,25.7,33.3,24.6,-1.7999999999999972,1.099999999999998
2026-07-16,10,ecmwf_ifs025,43.2965,5.3698,32.4,26.3,31.3,27.2,1.099999999999998,-0.8999999999999986
2026-07-17,10,ecmwf_ifs025,43.2965,5.3698,30.4,26.4,31.9,26.0,-1.5,0.3999999999999986
2026-07-18,10,ecmwf_ifs025,43.2965,5.3698,35.1,26.5,29.2,25.0,5.900000000000002,1.5
2026-07-19,10,ecmwf_ifs025,43.2965,5.3698,35.7,26.7,30.5,24.9,5.200000000000003,1.8000000000000007
2026-07-20,10,ecmwf_ifs025,43.2965,5.3698,33.8,27.5,35.5,26.4,-1.7000000000000028,1.1000000000000014
2026-07-21,10,ecmwf_ifs025,43.2965,5.3698,35.9,26.8,35.4,26.3,0.5,0.5
2026-07-22,10,ecmwf_ifs025,43.2965,5.3698,31.9,22.8,31.7,27.4,0.1999999999999993,-4.599999999999998
2026-07-23,10,ecmwf_ifs025,43.2965,5.3698,35.1,23.6,29.1,21.7,6.0,1.900000000000002
2026-07-24,10,ecmwf_ifs025,43.2965,5.3698,31.9,23.4,30.6,23.8,1.2999999999999972,-0.4000000000000021
2026-07-25,10,ecmwf_ifs025,43.2965,5.3698,31.4,23.5,27.6,22.3,3.799999999999997,1.1999999999999993
2026-07-26,10,ecmwf_ifs025,43.2965,5.3698,30.3,21.2,31.0,24.9,-0.6999999999999993,-3.6999999999999993
2026-07-27,10,ecmwf_ifs025,43.2965,5.3698,32.9,23.0,26.6,23.0,6.299999999999997,0.0
2026-07-28,10,ecmwf_ifs025,43.2965,5.3698,31.6,24.1,26.1,22.2,5.5,1.900000000000002
2026-07-29,10,ecmwf_ifs025,43.2965,5.3698,27.6,23.0,28.6,20.1,-1.0,2.8999999999999986
