method,lead_days,n_hot,n_normal,bias_hot,bias_normal,gap,p_value
raw,1,70,427,0.19000000000000006,-0.09695550351288057,0.2869555035128806,0.007741345247917245
raw,3,70,427,0.3600000000000002,-0.19391100702576106,0.5539110070257612,0.007369272660456164
raw,5,70,427,1.032857142857143,-0.19508196721311472,1.2279391100702577,0.00014028389050050363
raw,7,70,427,2.2857142857142856,-0.6747072599531616,2.9604215456674474,2.600369095120981e-10
const-corrected,1,70,427,0.24057067603160626,-0.0463848274812733,0.2869555035128796,0.0077413452479174845
const-corrected,3,70,427,0.5317678100263865,-0.022143196999376304,0.5539110070257628,0.0073692726604559595
const-corrected,5,70,427,1.2093329137822515,-0.018606196288005472,1.227939110070257,0.00014028389050050423
const-corrected,7,70,427,2.565943764972891,-0.39447778069455675,2.960421545667448,2.600369095120934e-10
linear-corrected,1,70,427,0.3949481866835832,-0.04112711526974241,0.4360753019533256,3.651366686876703e-05
linear-corrected,3,70,427,0.8961292116578601,-0.011056523649025223,0.9071857353068853,6.76036085566959e-06
linear-corrected,5,70,427,1.8662615845662287,0.0016823389079234552,1.8645792456583052,3.848652102116926e-09
linear-corrected,7,70,427,3.451840275161518,-0.32813457686336045,3.7799748520248784,8.617975328610254e-17
