date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-07-13,10,ecmwf_ifs025,47.2184,-1.5536,36.1,26.8,32.7,22.3,3.3999999999999986,4.5
2026-07-14,10,ecmwf_ifs025,47.2184,-1.5536,34.0,22.0,38.4,27.5,-4.399999999999999,-5.5
2026-07-15,10,ecmwf_ifs025,47.2184,-1.5536,35.4,23.4,22.9,19.4,12.5,4.0
2026-07-16,10,ecmwf_ifs025,47.2184,-1.5536,33.9,20.7,39.1,27.1,-5.200000000000003,-6.400000000000002
2026-07-17,10,ecmwf_ifs025,47.2184,-1.5536,31.2,19.0,28.8,23.1,2.3999999999999986,-4.100000000000001
2026-07-18,10,ecmwf_ifs025,47.2184,-1.5536,32.1,18.8,27.4,18.4,4.700000000000003,0.4000000000000021
2026-07-19,10,ecmwf_ifs025,47.2184,-1.5536,28.9,18.0,21.0,15.5,7.899999999999999,2.5
2026-07-20,10,ecmwf_ifs025,47.2184,-1.5536,27.9,15.8,27.3,17.8,0.5999999999999979,-2.0
2026-07-21,10,ecmwf_ifs025,47.2184,-1.5536,29.2,16.5,27.8,13.6,1.3999999999999986,2.9000000000000004
2026-07-22,10,ecmwf_ifs025,47.2184,-1.5536,30.7,16.6,28.8,18.0,1.8999999999999984,-1.3999999999999986
2026-07-23,10,ecmwf_ifs025,47.2184,-1.5536,30.8,18.2,32.3,20.3,-1.4999999999999964,-2.1000000000000014
2026-07-24,10,ecmwf_ifs025,47.2184,-1.5536,31.8,18.2,31.5,19.8,0.3000000000000007,-1.6000000000000014
2026-07-25,10,ecmwf_ifs025,47.2184,-1.5536,31.5,17.8,25.2,17.2,6.300000000000001,0.6000000000000014
2026-07-26,10,ecmwf_ifs025,47.2184,-1.5536,23.8,17.8,24.4,17.5,-0.5999999999999979,0.3000000000000007
2026-07-27,10,ecmwf_ifs025,47.2184,-1.5536,29.7,16.4,24.6,18.3,5.099999999999998,-1.900000000000002
2026-07-28,10,ecmwf_ifs025,47.2184,-1.5536,35.2,16.9,22.8,16.2,12.400000000000002,0.6999999999999993
2026-07-29,10,ecmwf_ifs025,47.2184,-1.5536,36.4,19.0,24.3,18.2,12.099999999999998,0.8000000000000007
2026-07-30,10,ecmwf_ifs025,47.2184,-1.5536,29.8,18.9,24.3,14.5,5.5,4.399999999999999
2026-07-31,10,ecmwf_ifs025,47.2184,-1.5536,28.7,18.1,31.5,18.5,-2.8000000000000007,-0.3999999999999986
2026-08-01,10,ecmwf_ifs025,47.2184,-1.5536,28.9,14.3,26.5,20.9,2.3999999999999986,-6.599999999999998
2026-08-02,10,ecmwf_ifs025,47.2184,-1.5536,32.9,15.8,29.0,19.8,3.899999999999999,-4.0
2026-08-03,10,ecmwf_ifs025,47.2184,-1.5536,33.1,20.3,27.7,19.1,5.400000000000002,1.1999999999999993
2026-08-04,10,ecmwf_ifs025,47.2184,-1.5536,26.8,19.0,28.6,20.5,-1.8000000000000007,-1.5
2026-08-05,10,ecmwf_ifs025,47.2184,-1.5536,25.9,19.6,30.5,19.1,-4.600000000000001,0.5
2026-08-06,10,ecmwf_ifs025,47.2184,-1.5536,27.1,15.4,26.7,16.1,0.4000000000000021,-0.7000000000000011
2026-08-07,10,ecmwf_ifs025,47.2184,-1.5536,29.5,14.0,22.7,15.2,6.800000000000001,-1.1999999999999993
2026-08-08,10,ecmwf_ifs025,47.2184,-1.5536,35.1,16.6,30.3,19.0,4.800000000000001,-2.3999999999999986
2026-08-09,10,ecmwf_ifs025,47.2184,-1.5536,32.2,20.5,24.5,13.9,7.700000000000003,6.6
2026-08-10,10,ecmwf_ifs025,47.2184,-1.5536,33.3,19.3,28.6,16.5,4.699999999999996,2.8000000000000007
2026-08-11,10,ecmwf_ifs025,47.2184,-1.5536,37.0,21.2,32.9,20.9,4.100000000000001,0.3000000000000007
2026-08-12,10,ecmwf_ifs025,47.2184,-1.5536,38.7,24.4,24.1,18.4,14.6,6.0
2026-08-13,10,ecmwf_ifs025,47.2184,-1.5536,40.0,22.6,33.8,21.4,6.200000000000003,1.2000000000000028
2026-08-14,10,ecmwf_ifs025,47.2184,-1.5536,37.5,21.6,29.7,19.4,7.800000000000001,2.200000000000003
2026-08-15,10,ecmwf_ifs025,47.2184,-1.5536,32.2,20.9,27.7,17.1,4.500000000000004,3.799999999999997
2026-08-16,10,ecmwf_ifs025,47.2184,-1.5536,33.2,20.3,32.6,19.7,0.6000000000000014,0.6000000000000014
