date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-04-15,10,ecmwf_ifs025,48.8566,2.3522,19.0,8.9,13.7,6.6,5.300000000000001,2.3000000000000007
2026-04-16,10,ecmwf_ifs025,48.8566,2.3522,19.4,10.1,15.6,6.7,3.799999999999999,3.3999999999999995
2026-04-17,10,ecmwf_ifs025,48.8566,2.3522,21.0,9.9,19.5,8.3,1.5,1.5999999999999996
2026-04-18,10,ecmwf_ifs025,48.8566,2.3522,22.1,12.7,19.0,7.5,3.1000000000000014,5.199999999999999
2026-04-19,10,ecmwf_ifs025,48.8566,2.3522,18.1,7.3,20.2,8.7,-2.099999999999998,-1.3999999999999997
2026-04-20,10,ecmwf_ifs025,48.8566,2.3522,15.8,6.5,20.5,9.5,-4.699999999999999,-3.0
2026-04-21,10,ecmwf_ifs025,48.8566,2.3522,16.2,5.8,15.1,6.6,1.0999999999999996,-0.7999999999999998
2026-04-22,10,ecmwf_ifs025,48.8566,2.3522,20.0,8.0,17.0,12.4,3.0,-4.4
2026-04-23,10,ecmwf_ifs025,48.8566,2.3522,22.4,9.2,18.5,7.2,3.899999999999999,1.9999999999999991
2026-04-24,10,ecmwf_ifs025,48.8566,2.3522,23.2,9.4,13.3,6.8,9.9,2.6000000000000005
2026-04-25,10,ecmwf_ifs025,48.8566,2.3522,23.7,8.6,10.7,6.2,13.0,2.3999999999999995
2026-04-26,10,ecmwf_ifs025,48.8566,2.3522,22.8,9.2,11.3,4.9,11.5,4.299999999999999
2026-04-27,10,ecmwf_ifs025,48.8566,2.3522,22.1,10.0,17.2,6.0,4.900000000000002,4.0
2026-04-28,10,ecmwf_ifs025,48.8566,2.3522,20.9,10.6,18.8,8.1,2.099999999999998,2.5
2026-04-29,10,ecmwf_ifs025,48.8566,2.3522,24.1,13.5,17.2,5.2,6.900000000000002,8.3
2026-04-30,10,ecmwf_ifs025,48.8566,2.3522,24.0,11.9,20.8,8.1,3.2,3.8000000000000007
2026-05-01,10,ecmwf_ifs025,48.8566,2.3522,25.4,12.1,16.0,5.8,9.4,6.3
2026-05-02,10,ecmwf_ifs025,48.8566,2.3522,25.5,15.1,22.2,8.8,3.3000000000000007,6.299999999999999
2026-05-03,10,ecmwf_ifs025,48.8566,2.3522,20.1,14.7,21.5,10.4,-1.3999999999999986,4.299999999999999
2026-05-04,10,ecmwf_ifs025,48.8566,2.3522,17.9,14.5,16.0,10.3,1.8999999999999984,4.199999999999999
2026-05-05,10,ecmwf_ifs025,48.8566,2.3522,15.3,12.4,15.9,8.9,-0.5999999999999996,3.5
2026-05-06,10,ecmwf_ifs025,48.8566,2.3522,15.0,10.1,25.7,16.1,-10.7,-6.000000000000002
2026-05-07,10,ecmwf_ifs025,48.8566,2.3522,16.8,10.2,17.3,8.9,-0.5,1.299999999999999
2026-05-08,10,ecmwf_ifs025,48.8566,2.3522,20.9,8.9,19.9,11.0,1.0,-2.1
2026-05-09,10,ecmwf_ifs025,48.8566,2.3522,24.6,11.1,18.8,8.9,5.800000000000001,2.2
2026-05-10,10,ecmwf_ifs025,48.8566,2.3522,18.2,12.5,17.4,12.9,0.8000000000000007,-0.4000000000000003
2026-05-11,10,ecmwf_ifs025,48.8566,2.3522,15.0,8.6,21.1,11.9,-6.100000000000001,-3.3000000000000007
2026-05-12,10,ecmwf_ifs025,48.8566,2.3522,16.0,6.3,14.8,7.0,1.1999999999999993,-0.7000000000000002
2026-05-13,10,ecmwf_ifs025,48.8566,2.3522,15.5,10.1,18.2,10.5,-2.7,-0.4000000000000003
2026-05-14,10,ecmwf_ifs025,48.8566,2.3522,11.8,8.1,15.9,10.3,-4.1,-2.200000000000001
2026-05-15,10,ecmwf_ifs025,48.8566,2.3522,13.6,5.3,13.4,9.1,0.1999999999999993,-3.8
2026-05-16,10,ecmwf_ifs025,48.8566,2.3522,15.8,7.6,16.4,8.9,-0.5999999999999979,-1.3000000000000007
2026-05-17,10,ecmwf_ifs025,48.8566,2.3522,16.1,10.7,19.3,9.2,-3.2,1.5
2026-05-18,10,ecmwf_ifs025,48.8566,2.3522,15.7,9.2,20.5,10.1,-4.800000000000001,-0.9000000000000004
2026-05-19,10,ecmwf_ifs025,48.8566,2.3522,16.9,11.0,24.3,13.0,-7.400000000000002,-2.0
2026-05-20,10,ecmwf_ifs025,48.8566,2.3522,20.4,13.5,18.0,9.0,2.3999999999999986,4.5
2026-05-21,10,ecmwf_ifs025,48.8566,2.3522,24.7,10.5,21.4,10.9,3.3000000000000007,-0.4000000000000003
2026-05-22,10,ecmwf_ifs025,48.8566,2.3522,28.8,14.2,23.1,12.6,5.699999999999999,1.5999999999999996
2026-05-23,10,ecmwf_ifs025,48.8566,2.3522,31.6,16.0,26.0,15.9,5.600000000000001,0.0999999999999996
2026-05-24,10,ecmwf_ifs025,48.8566,2.3522,32.6,18.9,25.0,15.3,7.600000000000001,3.599999999999998
2026-05-25,10,ecmwf_ifs025,48.8566,2.3522,33.1,20.5,24.8,15.8,8.3,4.699999999999999
2026-05-26,10,ecmwf_ifs025,48.8566,2.3522,33.8,19.0,27.9,18.7,5.899999999999999,0.3000000000000007
2026-05-27,10,ecmwf_ifs025,48.8566,2.3522,32.9,19.3,23.0,14.6,9.9,4.700000000000001
2026-05-28,10,ecmwf_ifs025,48.8566,2.3522,33.3,21.2,23.7,17.8,9.599999999999998,3.3999999999999986
2026-05-29,10,ecmwf_ifs025,48.8566,2.3522,33.2,21.1,28.6,17.8,4.600000000000001,3.3000000000000007
2026-05-30,10,ecmwf_ifs025,48.8566,2.3522,34.5,22.1,28.9,18.0,5.600000000000001,4.100000000000001
2026-05-31,10,ecmwf_ifs025,48.8566,2.3522,25.3,17.6,28.1,17.9,-2.8000000000000007,-0.2999999999999971
2026-06-01,10,ecmwf_ifs025,48.8566,2.3522,26.3,15.0,30.9,20.5,-4.599999999999998,-5.5
2026-06-02,10,ecmwf_ifs025,48.8566,2.3522,22.7,17.3,19.9,14.7,2.8000000000000007,2.6000000000000014
2026-06-03,10,ecmwf_ifs025,48.8566,2.3522,20.6,14.3,18.4,14.2,2.200000000000003,0.1000000000000014
2026-06-04,10,ecmwf_ifs025,48.8566,2.3522,20.5,15.3,17.4,12.3,3.1000000000000014,3.0
2026-06-05,10,ecmwf_ifs025,48.8566,2.3522,19.3,12.2,25.9,16.7,-6.599999999999998,-4.5
2026-06-06,10,ecmwf_ifs025,48.8566,2.3522,21.1,14.0,18.3,13.0,2.8000000000000007,1.0
2026-06-07,10,ecmwf_ifs025,48.8566,2.3522,23.3,12.5,19.0,14.0,4.300000000000001,-1.5
2026-06-08,10,ecmwf_ifs025,48.8566,2.3522,22.5,14.1,18.3,11.3,4.199999999999999,2.799999999999999
2026-06-09,10,ecmwf_ifs025,48.8566,2.3522,20.2,10.7,19.1,14.7,1.099999999999998,-4.0
2026-06-10,10,ecmwf_ifs025,48.8566,2.3522,17.8,12.7,29.0,18.6,-11.2,-5.900000000000002
2026-06-11,10,ecmwf_ifs025,48.8566,2.3522,18.5,10.1,17.9,12.7,0.6000000000000014,-2.6
2026-06-12,10,ecmwf_ifs025,48.8566,2.3522,25.5,16.7,18.0,12.0,7.5,4.699999999999999
2026-06-13,10,ecmwf_ifs025,48.8566,2.3522,28.0,16.3,29.3,17.2,-1.3000000000000007,-0.8999999999999986
2026-06-14,10,ecmwf_ifs025,48.8566,2.3522,26.5,14.4,26.7,15.3,-0.1999999999999993,-0.9000000000000004
2026-06-15,10,ecmwf_ifs025,48.8566,2.3522,28.8,14.6,30.2,17.5,-1.3999999999999986,-2.9000000000000004
2026-06-16,10,ecmwf_ifs025,48.8566,2.3522,27.8,21.2,30.2,16.9,-2.3999999999999986,4.300000000000001
2026-06-17,10,ecmwf_ifs025,48.8566,2.3522,32.6,19.1,31.4,17.8,1.2000000000000028,1.3000000000000007
