date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-07-13,10,ecmwf_ifs025,43.6047,1.4442,32.4,22.9,33.8,24.6,-1.3999999999999986,-1.7000000000000028
2026-07-14,10,ecmwf_ifs025,43.6047,1.4442,36.6,23.1,41.1,27.2,-4.5,-4.099999999999998
2026-07-15,10,ecmwf_ifs025,43.6047,1.4442,35.6,23.3,30.0,20.3,5.600000000000001,3.0
2026-07-16,10,ecmwf_ifs025,43.6047,1.4442,32.6,22.9,38.8,25.2,-6.199999999999996,-2.3000000000000007
2026-07-17,10,ecmwf_ifs025,43.6047,1.4442,29.8,22.5,35.8,23.2,-5.9999999999999964,-0.6999999999999993
2026-07-18,10,ecmwf_ifs025,43.6047,1.4442,32.3,20.9,28.2,19.5,4.099999999999998,1.3999999999999986
2026-07-19,10,ecmwf_ifs025,43.6047,1.4442,34.2,22.5,25.3,20.3,8.900000000000002,2.2
2026-07-20,10,ecmwf_ifs025,43.6047,1.4442,36.3,22.5,37.8,23.3,-1.5,-0.8000000000000007
2026-07-21,10,ecmwf_ifs025,43.6047,1.4442,33.7,22.9,32.2,20.7,1.5,2.2
2026-07-22,10,ecmwf_ifs025,43.6047,1.4442,34.3,19.7,36.2,24.2,-1.9000000000000057,-4.5
2026-07-23,10,ecmwf_ifs025,43.6047,1.4442,35.3,21.0,35.3,21.8,0.0,-0.8000000000000007
2026-07-24,10,ecmwf_ifs025,43.6047,1.4442,37.7,19.4,39.0,23.2,-1.2999999999999972,-3.8000000000000007
2026-07-25,10,ecmwf_ifs025,43.6047,1.4442,27.5,18.3,31.4,20.4,-3.899999999999999,-2.099999999999998
2026-07-26,10,ecmwf_ifs025,43.6047,1.4442,26.1,18.5,26.9,19.7,-0.7999999999999972,-1.1999999999999993
2026-07-27,10,ecmwf_ifs025,43.6047,1.4442,28.1,19.2,27.1,19.1,1.0,0.0999999999999978
2026-07-28,10,ecmwf_ifs025,43.6047,1.4442,36.1,18.0,26.4,18.2,9.700000000000005,-0.1999999999999993
2026-07-29,10,ecmwf_ifs025,43.6047,1.4442,39.9,22.1,26.2,18.0,13.7,4.100000000000001
2026-07-30,10,ecmwf_ifs025,43.6047,1.4442,32.3,21.0,25.4,19.4,6.899999999999999,1.6000000000000014
2026-07-31,10,ecmwf_ifs025,43.6047,1.4442,28.0,20.8,39.1,23.3,-11.1,-2.5
2026-08-01,10,ecmwf_ifs025,43.6047,1.4442,31.1,20.1,32.7,22.1,-1.6000000000000014,-2.0
2026-08-02,10,ecmwf_ifs025,43.6047,1.4442,36.7,21.1,37.0,22.5,-0.2999999999999971,-1.3999999999999986
2026-08-03,10,ecmwf_ifs025,43.6047,1.4442,33.6,21.9,37.6,22.7,-4.0,-0.8000000000000007
2026-08-04,10,ecmwf_ifs025,43.6047,1.4442,31.4,22.5,36.6,24.3,-5.200000000000003,-1.8000000000000007
2026-08-05,10,ecmwf_ifs025,43.6047,1.4442,30.6,21.9,38.0,24.6,-7.399999999999999,-2.700000000000003
2026-08-06,10,ecmwf_ifs025,43.6047,1.4442,29.9,21.8,34.0,22.5,-4.100000000000001,-0.6999999999999993
2026-08-07,10,ecmwf_ifs025,43.6047,1.4442,32.9,20.2,29.6,21.3,3.299999999999997,-1.1000000000000014
2026-08-08,10,ecmwf_ifs025,43.6047,1.4442,37.3,21.6,30.2,19.3,7.099999999999998,2.3000000000000007
2026-08-09,10,ecmwf_ifs025,43.6047,1.4442,36.6,23.0,29.2,16.6,7.400000000000002,6.399999999999999
2026-08-10,10,ecmwf_ifs025,43.6047,1.4442,31.7,20.7,31.1,18.0,0.5999999999999979,2.7
2026-08-11,10,ecmwf_ifs025,43.6047,1.4442,35.0,21.7,38.0,23.6,-3.0,-1.900000000000002
2026-08-12,10,ecmwf_ifs025,43.6047,1.4442,37.7,24.3,30.9,21.1,6.800000000000004,3.2
2026-08-13,10,ecmwf_ifs025,43.6047,1.4442,38.8,23.6,34.5,22.0,4.299999999999997,1.6000000000000014
2026-08-14,10,ecmwf_ifs025,43.6047,1.4442,37.9,21.3,34.5,22.5,3.3999999999999986,-1.1999999999999993
2026-08-15,10,ecmwf_ifs025,43.6047,1.4442,32.9,22.6,34.0,22.2,-1.1000000000000014,0.4000000000000021
2026-08-16,10,ecmwf_ifs025,43.6047,1.4442,30.5,21.5,36.6,23.5,-6.100000000000001,-2.0
2026-08-17,10,ecmwf_ifs025,43.6047,1.4442,30.6,21.1,32.1,21.5,-1.5,-0.3999999999999986
2026-08-18,10,ecmwf_ifs025,43.6047,1.4442,30.1,21.2,34.0,22.8,-3.899999999999999,-1.6000000000000014
2026-08-19,10,ecmwf_ifs025,43.6047,1.4442,33.6,20.3,28.5,18.6,5.100000000000001,1.6999999999999993
2026-08-20,10,ecmwf_ifs025,43.6047,1.4442,28.1,19.3,23.6,14.4,4.5,4.9
2026-08-21,10,ecmwf_ifs025,43.6047,1.4442,23.8,17.6,25.0,19.2,-1.1999999999999993,-1.599999999999998
2026-08-22,10,ecmwf_ifs025,43.6047,1.4442,27.9,16.0,22.2,14.9,5.699999999999999,1.0999999999999996
2026-08-23,10,ecmwf_ifs025,43.6047,1.4442,33.0,20.5,23.0,18.6,10.0,1.8999999999999984
2026-08-24,10,ecmwf_ifs025,43.6047,1.4442,31.7,20.1,27.3,19.2,4.399999999999999,0.9000000000000021
2026-08-25,10,ecmwf_ifs025,43.6047,1.4442,29.3,18.9,30.4,19.0,-1.099999999999998,-0.1000000000000014
2026-08-26,10,ecmwf_ifs025,43.6047,1.4442,31.6,20.7,23.2,17.9,8.400000000000002,2.8000000000000007
2026-08-27,10,ecmwf_ifs025,43.6047,1.4442,31.7,21.8,22.7,18.3,9.0,3.5
2026-08-28,10,ecmwf_ifs025,43.6047,1.4442,26.1,19.4,23.9,15.8,2.200000000000003,3.599999999999998
2026-08-29,10,ecmwf_ifs025,43.6047,1.4442,29.0,16.8,24.5,16.3,4.5,0.5
